State,Postcode,Associated residential areas,Reporting Year,Age group,Percent fully immunised (%),Interpret with caution  (#)
NSW,2063,Northbridge,2016-17,1 year,95.0-100.0,#
NSW,2064,Artarmon,2016-17,1 year,95.0-100.0, 
NSW,2065,"Wollstonecraft, Naremburn, Greenwich, St Leonards, Crows Nest",2016-17,1 year,92.5-94.9, 
NSW,2066,"Lane Cove, Lane Cove North, Riverview, Lane Cove West, Longueville and 2 others",2016-17,1 year,92.5-94.9, 
NSW,2067,"Chatswood, Chatswood West",2016-17,1 year,90.0-92.4, 
NSW,2068,"Willoughby, North Willoughby, Castlecrag, Willoughby East, Middle Cove and 1 other",2016-17,1 year,92.5-94.9, 
NSW,2069,"Roseville, Castle Cove, Roseville Chase",2016-17,1 year,85.0-89.9, 
NSW,2070,"Lindfield, East Lindfield, Lindfield West",2016-17,1 year,90.0-92.4, 
NSW,2071,"Killara, East Killara",2016-17,1 year,90.0-92.4, 
NSW,2072,Gordon,2016-17,1 year,92.5-94.9,#
NSW,2073,"Pymble, West Pymble",2016-17,1 year,92.5-94.9, 
NSW,2074,"Turramurra, North Turramurra, South Turramurra, Warrawee",2016-17,1 year,95.0-100.0, 
NSW,2075,"St Ives, St Ives Chase",2016-17,1 year,90.0-92.4, 
NSW,2076,"Wahroonga, Normanhurst, North Wahroonga",2016-17,1 year,92.5-94.9, 
NSW,2077,"Hornsby, Hornsby Heights, Waitara, Asquith",2016-17,1 year,92.5-94.9, 
NSW,2079,Mount Colah,2016-17,1 year,95.0-100.0,#
NSW,2080,Mount Kuring-Gai,2016-17,1 year,NP, 
NSW,2081,"Berowra, Cowan",2016-17,1 year,92.5-94.9,#
NSW,2082,"Berowra Heights, Berowra Creek, Berowra Waters",2016-17,1 year,92.5-94.9,#
NSW,2083,"Brooklyn, Mooney Mooney, Bar Point, Dangar Island, Milsons Passage and 2 others",2016-17,1 year,NP, 
NSW,2084,"Terrey Hills, Duffys Forest, Cottage Point",2016-17,1 year,85.0-89.9,#
NSW,2085,"Belrose, Davidson",2016-17,1 year,90.0-92.4,#
NSW,2086,"Frenchs Forest, Frenchs Forest East",2016-17,1 year,92.5-94.9, 
NSW,2087,"Forestville, Killarney Heights",2016-17,1 year,95.0-100.0, 
NSW,2088,"Mosman, Spit Junction",2016-17,1 year,92.5-94.9, 
NSW,2089,"Neutral Bay, Kurraba Point, Neutral Bay Junction",2016-17,1 year,92.5-94.9, 
NSW,2090,"Cremorne, Cremorne Point",2016-17,1 year,90.0-92.4, 
NSW,2092,Seaforth,2016-17,1 year,95.0-100.0,#
NSW,2093,"Balgowlah, Manly Vale, North Balgowlah, Balgowlah Heights, Clontarf",2016-17,1 year,92.5-94.9, 
