Postcode,Electoral division,Per cent,State,Party_Year,Party_Name
2197,Blaxland,100,NSW,2016,Australian Labor Party
2198,Blaxland,100,NSW,2016,Australian Labor Party
2199,Blaxland,100,NSW,2016,Australian Labor Party
2200,Blaxland,100,NSW,2016,Australian Labor Party
2203,Grayndler,100,NSW,2016,Australian Labor Party
2204,Grayndler,100,NSW,2016,Australian Labor Party
2205,Barton,100,NSW,2016,Australian Labor Party
2206,Watson,100,NSW,2016,Australian Labor Party
2207,Barton,59.3,NSW,2016,Australian Labor Party
2207,Watson,40.7,NSW,2016,Australian Labor Party
2208,Watson,100,NSW,2016,Australian Labor Party
2209,Banks,69.9,NSW,2016,Liberal
2209,Watson,30.1,NSW,2016,Australian Labor Party
2210,Banks,100,NSW,2016,Liberal
2211,Banks,100,NSW,2016,Liberal
2212,Banks,100,NSW,2016,Liberal
2213,Banks,100,NSW,2016,Liberal
2214,Banks,100,NSW,2016,Liberal
2216,Barton,100,NSW,2016,Australian Labor Party
2217,Barton,100,NSW,2016,Australian Labor Party
2218,Barton,93.2,NSW,2016,Australian Labor Party
2218,Watson,6.8,NSW,2016,Australian Labor Party
2219,Barton,100,NSW,2016,Australian Labor Party
2220,Barton,31.8,NSW,2016,Australian Labor Party
2220,Watson,68.2,NSW,2016,Australian Labor Party
2221,Barton,100,NSW,2016,Australian Labor Party
2222,Banks,70.5,NSW,2016,Liberal
2222,Barton,29.5,NSW,2016,Australian Labor Party
2223,Banks,72.7,NSW,2016,Liberal
2223,Barton,27.3,NSW,2016,Australian Labor Party
2224,Cook,100,NSW,2016,Liberal
2225,Hughes,100,NSW,2016,Liberal
2226,Hughes,100,NSW,2016,Liberal
2227,Cook,100,NSW,2016,Liberal
2228,Cook,100,NSW,2016,Liberal
2229,Cook,100,NSW,2016,Liberal
2230,Cook,100,NSW,2016,Liberal
2231,Cook,100,NSW,2016,Liberal
2232,Cook,50.2,NSW,2016,Liberal
2232,Hughes,49.8,NSW,2016,Liberal
2233,Hughes,100,NSW,2016,Liberal
2234,Hughes,100,NSW,2016,Liberal
2250,Dobell,36.9,NSW,2016,Australian Labor Party
2250,Robertson,63.1,NSW,2016,Liberal
2251,Robertson,100,NSW,2016,Liberal
2256,Robertson,100,NSW,2016,Liberal
2257,Robertson,100,NSW,2016,Liberal
2258,Dobell,100,NSW,2016,Australian Labor Party
2259,Charlton,6.1,NA,2016,NA
2259,Dobell,64.5,NSW,2016,Australian Labor Party
2259,Shortland,29.3,NSW,2016,Australian Labor Party
2260,Dobell,55.8,NSW,2016,Australian Labor Party
2260,Robertson,44.2,NSW,2016,Liberal
2261,Dobell,100,NSW,2016,Australian Labor Party
2262,Dobell,26.2,NSW,2016,Australian Labor Party
2262,Shortland,73.8,NSW,2016,Australian Labor Party
2263,Dobell,13.6,NSW,2016,Australian Labor Party
2263,Shortland,86.4,NSW,2016,Australian Labor Party
2264,Charlton,100,NA,2016,NA
2265,Charlton,100,NA,2016,NA
2267,Charlton,100,NA,2016,NA
2278,Charlton,100,NA,2016,NA
2280,Shortland,100,NSW,2016,Australian Labor Party
2281,Shortland,100,NSW,2016,Australian Labor Party
2282,Charlton,55.9,NA,2016,NA
2282,Shortland,44.1,NSW,2016,Australian Labor Party
2283,Charlton,100,NA,2016,NA
2284,Charlton,100,NA,2016,NA
2285,Charlton,100,NA,2016,NA
2286,Charlton,100,NA,2016,NA
2287,Charlton,45.8,NA,2016,NA
2287,Newcastle,54.2,NSW,2016,Australian Labor Party
2289,Charlton,11.3,NA,2016,NA
2289,Newcastle,85.2,NSW,2016,Australian Labor Party
2289,Shortland,3.5,NSW,2016,Australian Labor Party
2290,Charlton,17.2,NA,2016,NA
2290,Newcastle,3.2,NSW,2016,Australian Labor Party
2290,Shortland,79.6,NSW,2016,Australian Labor Party
2291,Newcastle,100,NSW,2016,Australian Labor Party
2292,Newcastle,100,NSW,2016,Australian Labor Party
2293,Newcastle,100,NSW,2016,Australian Labor Party
2294,Newcastle,100,NSW,2016,Australian Labor Party
2295,Newcastle,90,NSW,2016,Australian Labor Party
2295,Paterson,10,NSW,2016,Australian Labor Party
2296,Newcastle,100,NSW,2016,Australian Labor Party
2297,Newcastle,100,NSW,2016,Australian Labor Party
2298,Newcastle,100,NSW,2016,Australian Labor Party
2299,Newcastle,100,NSW,2016,Australian Labor Party
2300,Newcastle,100,NSW,2016,Australian Labor Party
2302,Newcastle,100,NSW,2016,Australian Labor Party
2303,Newcastle,100,NSW,2016,Australian Labor Party
2304,Newcastle,100,NSW,2016,Australian Labor Party
2305,Charlton,13.1,NA,2016,NA
2305,Newcastle,86.9,NSW,2016,Australian Labor Party
2306,Shortland,100,NSW,2016,Australian Labor Party
2307,Newcastle,100,NSW,2016,Australian Labor Party
2308,Newcastle,100,NSW,2016,Australian Labor Party
2311,Paterson,100,NSW,2016,Australian Labor Party
2312,Lyne,27.6,NSW,2016,The Nationals
2312,Paterson,72.4,NSW,2016,Australian Labor Party
2314,Paterson,100,NSW,2016,Australian Labor Party
2315,Paterson,100,NSW,2016,Australian Labor Party
2316,Paterson,100,NSW,2016,Australian Labor Party
2317,Paterson,100,NSW,2016,Australian Labor Party
2318,Paterson,100,NSW,2016,Australian Labor Party
2319,Paterson,100,NSW,2016,Australian Labor Party
2320,Hunter,100,NSW,2016,Australian Labor Party
2321,Hunter,25.9,NSW,2016,Australian Labor Party
2321,Paterson,74.1,NSW,2016,Australian Labor Party
2322,Hunter,2,NSW,2016,Australian Labor Party
2322,Newcastle,3.7,NSW,2016,Australian Labor Party
2322,Paterson,94.3,NSW,2016,Australian Labor Party
2323,Hunter,94.9,NSW,2016,Australian Labor Party
2323,Paterson,5.1,NSW,2016,Australian Labor Party
2324,Paterson,100,NSW,2016,Australian Labor Party
2325,Hunter,100,NSW,2016,Australian Labor Party
2326,Hunter,100,NSW,2016,Australian Labor Party
2327,Hunter,100,NSW,2016,Australian Labor Party
2328,Hunter,100,NSW,2016,Australian Labor Party
2329,Gwydir,100,NA,2016,NA
2330,Hunter,100,NSW,2016,Australian Labor Party
2331,Hunter,100,NSW,2016,Australian Labor Party
2333,Hunter,100,NSW,2016,Australian Labor Party
2334,Hunter,100,NSW,2016,Australian Labor Party
2335,Hunter,100,NSW,2016,Australian Labor Party
2336,Gwydir,100,NA,2016,NA
2337,Gwydir,100,NA,2016,NA
2338,Gwydir,100,NA,2016,NA
2339,Gwydir,100,NA,2016,NA
2340,Gwydir,1.1,NA,2016,NA
2340,New England,98.9,NSW,2016,The Nationals
2341,New England,100,NSW,2016,The Nationals
2342,New England,100,NSW,2016,The Nationals
2343,Gwydir,100,NA,2016,NA
2344,New England,100,NSW,2016,The Nationals
2345,New England,100,NSW,2016,The Nationals
2346,New England,100,NSW,2016,The Nationals
2347,New England,100,NSW,2016,The Nationals
2350,New England,100,NSW,2016,The Nationals
2351,New England,100,NSW,2016,The Nationals
2352,New England,100,NSW,2016,The Nationals
2353,New England,100,NSW,2016,The Nationals
2354,New England,100,NSW,2016,The Nationals
2355,New England,100,NSW,2016,The Nationals
2356,Gwydir,100,NA,2016,NA
2357,Gwydir,100,NA,2016,NA
2358,New England,100,NSW,2016,The Nationals
2359,New England,100,NSW,2016,The Nationals
2360,New England,100,NSW,2016,The Nationals
2361,New England,100,NSW,2016,The Nationals
2365,New England,100,NSW,2016,The Nationals
2369,New England,100,NSW,2016,The Nationals
2370,New England,100,NSW,2016,The Nationals
2371,New England,100,NSW,2016,The Nationals
2372,New England,100,NSW,2016,The Nationals
2379,Gwydir,100,NA,2016,NA
2380,Gwydir,100,NA,2016,NA
2381,Gwydir,100,NA,2016,NA
2382,Gwydir,100,NA,2016,NA
2386,Gwydir,100,NA,2016,NA
2387,Gwydir,100,NA,2016,NA
2388,Gwydir,100,NA,2016,NA
2390,Gwydir,98.8,NA,2016,NA
2390,New England,1.2,NSW,2016,The Nationals
2395,Gwydir,100,NA,2016,NA
2396,Gwydir,100,NA,2016,NA
2397,Gwydir,100,NA,2016,NA
2398,Gwydir,100,NA,2016,NA
2399,Gwydir,100,NA,2016,NA
2400,Gwydir,100,NA,2016,NA
2401,Gwydir,100,NA,2016,NA
2402,Gwydir,100,NA,2016,NA
2403,New England,100,NSW,2016,The Nationals
2404,New England,100,NSW,2016,The Nationals
2405,Gwydir,100,NA,2016,NA
2406,Gwydir,79.6,NA,2016,NA
2406,Maranoa,20.4,QLD,2016,Liberal National Party
2408,Gwydir,100,NA,2016,NA
2409,Gwydir,100,NA,2016,NA
2410,New England,100,NSW,2016,The Nationals
2411,Gwydir,100,NA,2016,NA
2415,Paterson,100,NSW,2016,Australian Labor Party
2420,Paterson,100,NSW,2016,Australian Labor Party
2421,Paterson,100,NSW,2016,Australian Labor Party
2422,Paterson,100,NSW,2016,Australian Labor Party
2423,Paterson,100,NSW,2016,Australian Labor Party
2424,Lyne,100,NSW,2016,The Nationals
2425,Paterson,100,NSW,2016,Australian Labor Party
2426,Lyne,100,NSW,2016,The Nationals
2427,Lyne,100,NSW,2016,The Nationals
2428,Paterson,100,NSW,2016,Australian Labor Party
2429,Lyne,100,NSW,2016,The Nationals
2430,Lyne,97.8,NSW,2016,The Nationals
2430,Paterson,2.2,NSW,2016,Australian Labor Party
2431,Cowper,100,NSW,2016,The Nationals
2439,Lyne,100,NSW,2016,The Nationals
2440,Cowper,29.1,NSW,2016,The Nationals
2440,Lyne,70.9,NSW,2016,The Nationals
2441,Cowper,43.9,NSW,2016,The Nationals
2441,Lyne,56.1,NSW,2016,The Nationals
2443,Lyne,100,NSW,2016,The Nationals
2444,Lyne,100,NSW,2016,The Nationals
2445,Lyne,100,NSW,2016,The Nationals
2446,Lyne,100,NSW,2016,The Nationals
2447,Cowper,100,NSW,2016,The Nationals
2448,Cowper,100,NSW,2016,The Nationals
2449,Cowper,100,NSW,2016,The Nationals
2450,Cowper,99.3,NSW,2016,The Nationals
2450,Page,0.7,NSW,2016,The Nationals
2452,Cowper,100,NSW,2016,The Nationals
2453,Cowper,90.6,NSW,2016,The Nationals
2453,Page,9.4,NSW,2016,The Nationals
2454,Cowper,100,NSW,2016,The Nationals
2455,Cowper,100,NSW,2016,The Nationals
2456,Cowper,100,NSW,2016,The Nationals
2460,Cowper,11.6,NSW,2016,The Nationals
2460,Page,88.4,NSW,2016,The Nationals
2462,Cowper,100,NSW,2016,The Nationals
2463,Cowper,84.9,NSW,2016,The Nationals
2463,Page,15.1,NSW,2016,The Nationals
2464,Cowper,100,NSW,2016,The Nationals
2465,Page,100,NSW,2016,The Nationals
2466,Page,100,NSW,2016,The Nationals
2469,New England,18,NSW,2016,The Nationals
2469,Page,82,NSW,2016,The Nationals
2470,Page,100,NSW,2016,The Nationals
2471,Page,100,NSW,2016,The Nationals
2472,Page,100,NSW,2016,The Nationals
2473,Page,100,NSW,2016,The Nationals
2474,Page,100,NSW,2016,The Nationals
2475,New England,100,NSW,2016,The Nationals
2476,New England,37.4,NSW,2016,The Nationals
2476,Page,62.6,NSW,2016,The Nationals
2477,Page,19.3,NSW,2016,The Nationals
2477,Richmond,80.7,NSW,2016,Australian Labor Party
2478,Page,68.6,NSW,2016,The Nationals
2478,Richmond,31.4,NSW,2016,Australian Labor Party
2479,Richmond,100,NSW,2016,Australian Labor Party
2480,Page,97.2,NSW,2016,The Nationals
2480,Richmond,2.8,NSW,2016,Australian Labor Party
2481,Richmond,100,NSW,2016,Australian Labor Party
2482,Richmond,100,NSW,2016,Australian Labor Party
2483,Richmond,100,NSW,2016,Australian Labor Party
2484,Richmond,100,NSW,2016,Australian Labor Party
2485,Richmond,100,NSW,2016,Australian Labor Party
2486,Richmond,100,NSW,2016,Australian Labor Party
2487,Richmond,100,NSW,2016,Australian Labor Party
2488,Richmond,100,NSW,2016,Australian Labor Party
2489,Richmond,100,NSW,2016,Australian Labor Party
2490,Richmond,100,NSW,2016,Australian Labor Party
2500,Cunningham,100,NSW,2016,Australian Labor Party
2502,Throsby,100,NA,2016,NA
2505,Throsby,100,NA,2016,NA
2506,Throsby,100,NA,2016,NA
2508,Cunningham,100,NSW,2016,Australian Labor Party
2515,Cunningham,100,NSW,2016,Australian Labor Party
2516,Cunningham,100,NSW,2016,Australian Labor Party
2517,Cunningham,100,NSW,2016,Australian Labor Party
2518,Cunningham,100,NSW,2016,Australian Labor Party
2519,Cunningham,100,NSW,2016,Australian Labor Party
2525,Cunningham,100,NSW,2016,Australian Labor Party
2526,Cunningham,29.8,NSW,2016,Australian Labor Party
2526,Throsby,70.2,NA,2016,NA
2527,Throsby,100,NA,2016,NA
2528,Throsby,100,NA,2016,NA
2529,Throsby,100,NA,2016,NA
2530,Throsby,100,NA,2016,NA
2533,Gilmore,100,NSW,2016,Liberal
2534,Gilmore,100,NSW,2016,Liberal
2535,Gilmore,100,NSW,2016,Liberal
2536,Eden-Monaro,100,NSW,2016,Australian Labor Party
2537,Eden-Monaro,100,NSW,2016,Australian Labor Party
2538,Gilmore,100,NSW,2016,Liberal
2539,Gilmore,100,NSW,2016,Liberal
2540,Fraser,1.8,NA,2016,NA
2540,Gilmore,98.2,NSW,2016,Liberal
2541,Gilmore,100,NSW,2016,Liberal
2545,Eden-Monaro,100,NSW,2016,Australian Labor Party
2546,Eden-Monaro,100,NSW,2016,Australian Labor Party
2548,Eden-Monaro,100,NSW,2016,Australian Labor Party
2549,Eden-Monaro,100,NSW,2016,Australian Labor Party
2550,Eden-Monaro,100,NSW,2016,Australian Labor Party
2551,Eden-Monaro,100,NSW,2016,Australian Labor Party
2558,Macarthur,100,NSW,2016,Australian Labor Party
2559,Macarthur,100,NSW,2016,Australian Labor Party
2560,Hume,3.2,NSW,2016,Liberal
2560,Macarthur,92.3,NSW,2016,Australian Labor Party
2560,Werriwa,4.5,NSW,2016,Australian Labor Party
2563,Macarthur,100,NSW,2016,Australian Labor Party
2564,Werriwa,100,NSW,2016,Australian Labor Party
2565,Werriwa,100,NSW,2016,Australian Labor Party
2566,Werriwa,100,NSW,2016,Australian Labor Party
2567,Macarthur,100,NSW,2016,Australian Labor Party
2568,Hume,100,NSW,2016,Liberal
2569,Hume,100,NSW,2016,Liberal
2570,Hume,33.7,NSW,2016,Liberal
2570,Macarthur,66.3,NSW,2016,Australian Labor Party
2571,Hume,100,NSW,2016,Liberal
2572,Hume,100,NSW,2016,Liberal
2573,Hume,100,NSW,2016,Liberal
2574,Hume,100,NSW,2016,Liberal
2575,Hume,100,NSW,2016,Liberal
2576,Hume,100,NSW,2016,Liberal
2577,Gilmore,85.5,NSW,2016,Liberal
2577,Hume,14.5,NSW,2016,Liberal
2578,Gilmore,100,NSW,2016,Liberal
2579,Gilmore,46.7,NSW,2016,Liberal
2579,Hume,53.3,NSW,2016,Liberal
2580,Hume,100,NSW,2016,Liberal
2581,Hume,100,NSW,2016,Liberal
2582,Hume,100,NSW,2016,Liberal
2583,Calare,9.1,NSW,2016,The Nationals
2583,Hume,90.9,NSW,2016,Liberal
2584,Hume,100,NSW,2016,Liberal
2585,Hume,100,NSW,2016,Liberal
2586,Hume,100,NSW,2016,Liberal
2587,Hume,100,NSW,2016,Liberal
2588,Riverina,100,NSW,2016,The Nationals
2590,Riverina,100,NSW,2016,The Nationals
2594,Hume,100,NSW,2016,Liberal
2600,Canberra,47.3,ACT,2016,Australian Labor Party
2600,Fraser,52.7,NA,2016,NA
2601,Fraser,100,NA,2016,NA
2602,Fraser,100,NA,2016,NA
2603,Canberra,56.9,ACT,2016,Australian Labor Party
2603,Fraser,43.1,NA,2016,NA
2604,Fraser,100,NA,2016,NA
2605,Canberra,100,ACT,2016,Australian Labor Party
2606,Canberra,100,ACT,2016,Australian Labor Party
