Postcode,Electoral division,Per cent postcode in electorate,DivisionID2016,StateAB2016,CandidateID2016,GivenNm2016,Surname2016,PartyNm2016,PartyAb2016,DivisionID2010,StateAb2010,CandidateID2010,GivenNm2010,Surname2010,PartyNm2010,PartyAb2010,DivisionID2013,StateAb2013,CandidateID2013,GivenNm2013,Surname2013,PartyNm2013,PartyAb2013
0872,Lingiari,88.6,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
0880,Lingiari,100,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
0885,Lingiari,100,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
0886,Lingiari,100,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
2000,Sydney,100,149,NSW,29079,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,21559,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,24530,Tanya,PLIBERSEK,Australian Labor Party,ALP
2006,Sydney,100,149,NSW,29079,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,21559,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,24530,Tanya,PLIBERSEK,Australian Labor Party,ALP
2007,Sydney,100,149,NSW,29079,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,21559,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,24530,Tanya,PLIBERSEK,Australian Labor Party,ALP
2008,Sydney,100,149,NSW,29079,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,21559,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,24530,Tanya,PLIBERSEK,Australian Labor Party,ALP
2009,Sydney,100,149,NSW,29079,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,21559,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,24530,Tanya,PLIBERSEK,Australian Labor Party,ALP
2010,Sydney,100,149,NSW,29079,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,21559,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,24530,Tanya,PLIBERSEK,Australian Labor Party,ALP
2011,Sydney,100,149,NSW,29079,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,21559,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,24530,Tanya,PLIBERSEK,Australian Labor Party,ALP
2015,Sydney,100,149,NSW,29079,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,21559,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,24530,Tanya,PLIBERSEK,Australian Labor Party,ALP
2016,Sydney,100,149,NSW,29079,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,21559,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,24530,Tanya,PLIBERSEK,Australian Labor Party,ALP
2017,Sydney,100,149,NSW,29079,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,21559,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,24530,Tanya,PLIBERSEK,Australian Labor Party,ALP
2018,Kingsford Smith,69.5,127,NSW,29083,Matt,THISTLETHWAITE,Australian Labor Party,ALP,127,NSW,21368,Peter,GARRETT,Australian Labor Party,ALP,127,NSW,24553,Matt,THISTLETHWAITE,Australian Labor Party,ALP
2018,Sydney,30.5,149,NSW,29079,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,21559,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,24530,Tanya,PLIBERSEK,Australian Labor Party,ALP
2019,Kingsford Smith,100,127,NSW,29083,Matt,THISTLETHWAITE,Australian Labor Party,ALP,127,NSW,21368,Peter,GARRETT,Australian Labor Party,ALP,127,NSW,24553,Matt,THISTLETHWAITE,Australian Labor Party,ALP
2020,Kingsford Smith,100,127,NSW,29083,Matt,THISTLETHWAITE,Australian Labor Party,ALP,127,NSW,21368,Peter,GARRETT,Australian Labor Party,ALP,127,NSW,24553,Matt,THISTLETHWAITE,Australian Labor Party,ALP
2021,Sydney,34.4,149,NSW,29079,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,21559,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,24530,Tanya,PLIBERSEK,Australian Labor Party,ALP
2021,Wentworth,65.6,152,NSW,28638,Malcolm,TURNBULL,Liberal,LP,152,NSW,21557,Malcolm,TURNBULL,Liberal,LP,152,NSW,23199,Malcolm,TURNBULL,Liberal,LP
2022,Wentworth,100,152,NSW,28638,Malcolm,TURNBULL,Liberal,LP,152,NSW,21557,Malcolm,TURNBULL,Liberal,LP,152,NSW,23199,Malcolm,TURNBULL,Liberal,LP
2023,Wentworth,100,152,NSW,28638,Malcolm,TURNBULL,Liberal,LP,152,NSW,21557,Malcolm,TURNBULL,Liberal,LP,152,NSW,23199,Malcolm,TURNBULL,Liberal,LP
2024,Wentworth,100,152,NSW,28638,Malcolm,TURNBULL,Liberal,LP,152,NSW,21557,Malcolm,TURNBULL,Liberal,LP,152,NSW,23199,Malcolm,TURNBULL,Liberal,LP
2025,Wentworth,100,152,NSW,28638,Malcolm,TURNBULL,Liberal,LP,152,NSW,21557,Malcolm,TURNBULL,Liberal,LP,152,NSW,23199,Malcolm,TURNBULL,Liberal,LP
2026,Wentworth,100,152,NSW,28638,Malcolm,TURNBULL,Liberal,LP,152,NSW,21557,Malcolm,TURNBULL,Liberal,LP,152,NSW,23199,Malcolm,TURNBULL,Liberal,LP
2027,Wentworth,100,152,NSW,28638,Malcolm,TURNBULL,Liberal,LP,152,NSW,21557,Malcolm,TURNBULL,Liberal,LP,152,NSW,23199,Malcolm,TURNBULL,Liberal,LP
2028,Wentworth,100,152,NSW,28638,Malcolm,TURNBULL,Liberal,LP,152,NSW,21557,Malcolm,TURNBULL,Liberal,LP,152,NSW,23199,Malcolm,TURNBULL,Liberal,LP
2029,Wentworth,100,152,NSW,28638,Malcolm,TURNBULL,Liberal,LP,152,NSW,21557,Malcolm,TURNBULL,Liberal,LP,152,NSW,23199,Malcolm,TURNBULL,Liberal,LP
2030,Wentworth,100,152,NSW,28638,Malcolm,TURNBULL,Liberal,LP,152,NSW,21557,Malcolm,TURNBULL,Liberal,LP,152,NSW,23199,Malcolm,TURNBULL,Liberal,LP
2031,Kingsford Smith,42.4,127,NSW,29083,Matt,THISTLETHWAITE,Australian Labor Party,ALP,127,NSW,21368,Peter,GARRETT,Australian Labor Party,ALP,127,NSW,24553,Matt,THISTLETHWAITE,Australian Labor Party,ALP
2031,Wentworth,57.6,152,NSW,28638,Malcolm,TURNBULL,Liberal,LP,152,NSW,21557,Malcolm,TURNBULL,Liberal,LP,152,NSW,23199,Malcolm,TURNBULL,Liberal,LP
2032,Kingsford Smith,100,127,NSW,29083,Matt,THISTLETHWAITE,Australian Labor Party,ALP,127,NSW,21368,Peter,GARRETT,Australian Labor Party,ALP,127,NSW,24553,Matt,THISTLETHWAITE,Australian Labor Party,ALP
2033,Kingsford Smith,100,127,NSW,29083,Matt,THISTLETHWAITE,Australian Labor Party,ALP,127,NSW,21368,Peter,GARRETT,Australian Labor Party,ALP,127,NSW,24553,Matt,THISTLETHWAITE,Australian Labor Party,ALP
2034,Kingsford Smith,100,127,NSW,29083,Matt,THISTLETHWAITE,Australian Labor Party,ALP,127,NSW,21368,Peter,GARRETT,Australian Labor Party,ALP,127,NSW,24553,Matt,THISTLETHWAITE,Australian Labor Party,ALP
2035,Kingsford Smith,100,127,NSW,29083,Matt,THISTLETHWAITE,Australian Labor Party,ALP,127,NSW,21368,Peter,GARRETT,Australian Labor Party,ALP,127,NSW,24553,Matt,THISTLETHWAITE,Australian Labor Party,ALP
2036,Kingsford Smith,100,127,NSW,29083,Matt,THISTLETHWAITE,Australian Labor Party,ALP,127,NSW,21368,Peter,GARRETT,Australian Labor Party,ALP,127,NSW,24553,Matt,THISTLETHWAITE,Australian Labor Party,ALP
2037,Sydney,100,149,NSW,29079,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,21559,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,24530,Tanya,PLIBERSEK,Australian Labor Party,ALP
2038,Grayndler,73.6,121,NSW,29343,Anthony,ALBANESE,Australian Labor Party,ALP,121,NSW,21656,Anthony,ALBANESE,Australian Labor Party,ALP,121,NSW,24610,Anthony,ALBANESE,Australian Labor Party,ALP
2038,Sydney,26.4,149,NSW,29079,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,21559,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,24530,Tanya,PLIBERSEK,Australian Labor Party,ALP
2039,Sydney,100,149,NSW,29079,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,21559,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,24530,Tanya,PLIBERSEK,Australian Labor Party,ALP
2040,Grayndler,100,121,NSW,29343,Anthony,ALBANESE,Australian Labor Party,ALP,121,NSW,21656,Anthony,ALBANESE,Australian Labor Party,ALP,121,NSW,24610,Anthony,ALBANESE,Australian Labor Party,ALP
2041,Sydney,100,149,NSW,29079,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,21559,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,24530,Tanya,PLIBERSEK,Australian Labor Party,ALP
2042,Grayndler,58,121,NSW,29343,Anthony,ALBANESE,Australian Labor Party,ALP,121,NSW,21656,Anthony,ALBANESE,Australian Labor Party,ALP,121,NSW,24610,Anthony,ALBANESE,Australian Labor Party,ALP
2042,Sydney,42,149,NSW,29079,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,21559,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,24530,Tanya,PLIBERSEK,Australian Labor Party,ALP
2043,Sydney,100,149,NSW,29079,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,21559,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,24530,Tanya,PLIBERSEK,Australian Labor Party,ALP
2044,Grayndler,100,121,NSW,29343,Anthony,ALBANESE,Australian Labor Party,ALP,121,NSW,21656,Anthony,ALBANESE,Australian Labor Party,ALP,121,NSW,24610,Anthony,ALBANESE,Australian Labor Party,ALP
2045,Lowe,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2046,Lowe,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2047,Lowe,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2048,Grayndler,100,121,NSW,29343,Anthony,ALBANESE,Australian Labor Party,ALP,121,NSW,21656,Anthony,ALBANESE,Australian Labor Party,ALP,121,NSW,24610,Anthony,ALBANESE,Australian Labor Party,ALP
2049,Grayndler,100,121,NSW,29343,Anthony,ALBANESE,Australian Labor Party,ALP,121,NSW,21656,Anthony,ALBANESE,Australian Labor Party,ALP,121,NSW,24610,Anthony,ALBANESE,Australian Labor Party,ALP
2050,Grayndler,65.3,121,NSW,29343,Anthony,ALBANESE,Australian Labor Party,ALP,121,NSW,21656,Anthony,ALBANESE,Australian Labor Party,ALP,121,NSW,24610,Anthony,ALBANESE,Australian Labor Party,ALP
2050,Sydney,34.7,149,NSW,29079,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,21559,Tanya,PLIBERSEK,Australian Labor Party,ALP,149,NSW,24530,Tanya,PLIBERSEK,Australian Labor Party,ALP
2060,North Sydney,100,137,NSW,28567,Trent,ZIMMERMAN,Liberal,LP,137,NSW,21692,Joe,HOCKEY,Liberal,LP,137,NSW,23223,Joe,HOCKEY,Liberal,LP
2061,North Sydney,100,137,NSW,28567,Trent,ZIMMERMAN,Liberal,LP,137,NSW,21692,Joe,HOCKEY,Liberal,LP,137,NSW,23223,Joe,HOCKEY,Liberal,LP
2062,North Sydney,100,137,NSW,28567,Trent,ZIMMERMAN,Liberal,LP,137,NSW,21692,Joe,HOCKEY,Liberal,LP,137,NSW,23223,Joe,HOCKEY,Liberal,LP
2063,North Sydney,100,137,NSW,28567,Trent,ZIMMERMAN,Liberal,LP,137,NSW,21692,Joe,HOCKEY,Liberal,LP,137,NSW,23223,Joe,HOCKEY,Liberal,LP
2064,North Sydney,100,137,NSW,28567,Trent,ZIMMERMAN,Liberal,LP,137,NSW,21692,Joe,HOCKEY,Liberal,LP,137,NSW,23223,Joe,HOCKEY,Liberal,LP
2065,North Sydney,100,137,NSW,28567,Trent,ZIMMERMAN,Liberal,LP,137,NSW,21692,Joe,HOCKEY,Liberal,LP,137,NSW,23223,Joe,HOCKEY,Liberal,LP
2066,Bradfield,7.8,108,NSW,28565,Paul,FLETCHER,Liberal,LP,108,NSW,21644,Paul,FLETCHER,Liberal,LP,108,NSW,23200,Paul,FLETCHER,Liberal,LP
2066,North Sydney,92.2,137,NSW,28567,Trent,ZIMMERMAN,Liberal,LP,137,NSW,21692,Joe,HOCKEY,Liberal,LP,137,NSW,23223,Joe,HOCKEY,Liberal,LP
2067,Bradfield,100,108,NSW,28565,Paul,FLETCHER,Liberal,LP,108,NSW,21644,Paul,FLETCHER,Liberal,LP,108,NSW,23200,Paul,FLETCHER,Liberal,LP
2068,Bradfield,15.1,108,NSW,28565,Paul,FLETCHER,Liberal,LP,108,NSW,21644,Paul,FLETCHER,Liberal,LP,108,NSW,23200,Paul,FLETCHER,Liberal,LP
2068,North Sydney,84.9,137,NSW,28567,Trent,ZIMMERMAN,Liberal,LP,137,NSW,21692,Joe,HOCKEY,Liberal,LP,137,NSW,23223,Joe,HOCKEY,Liberal,LP
2069,Bradfield,100,108,NSW,28565,Paul,FLETCHER,Liberal,LP,108,NSW,21644,Paul,FLETCHER,Liberal,LP,108,NSW,23200,Paul,FLETCHER,Liberal,LP
2070,Bradfield,100,108,NSW,28565,Paul,FLETCHER,Liberal,LP,108,NSW,21644,Paul,FLETCHER,Liberal,LP,108,NSW,23200,Paul,FLETCHER,Liberal,LP
2071,Bradfield,100,108,NSW,28565,Paul,FLETCHER,Liberal,LP,108,NSW,21644,Paul,FLETCHER,Liberal,LP,108,NSW,23200,Paul,FLETCHER,Liberal,LP
2072,Bradfield,100,108,NSW,28565,Paul,FLETCHER,Liberal,LP,108,NSW,21644,Paul,FLETCHER,Liberal,LP,108,NSW,23200,Paul,FLETCHER,Liberal,LP
2073,Bradfield,100,108,NSW,28565,Paul,FLETCHER,Liberal,LP,108,NSW,21644,Paul,FLETCHER,Liberal,LP,108,NSW,23200,Paul,FLETCHER,Liberal,LP
2074,Bradfield,100,108,NSW,28565,Paul,FLETCHER,Liberal,LP,108,NSW,21644,Paul,FLETCHER,Liberal,LP,108,NSW,23200,Paul,FLETCHER,Liberal,LP
2075,Bradfield,100,108,NSW,28565,Paul,FLETCHER,Liberal,LP,108,NSW,21644,Paul,FLETCHER,Liberal,LP,108,NSW,23200,Paul,FLETCHER,Liberal,LP
2076,Berowra,40,106,NSW,28564,Julian,LEESER,Liberal,LP,106,NSW,21587,Philip,RUDDOCK,Liberal,LP,106,NSW,23203,Philip,RUDDOCK,Liberal,LP
2076,Bradfield,60,108,NSW,28565,Paul,FLETCHER,Liberal,LP,108,NSW,21644,Paul,FLETCHER,Liberal,LP,108,NSW,23200,Paul,FLETCHER,Liberal,LP
2077,Berowra,100,106,NSW,28564,Julian,LEESER,Liberal,LP,106,NSW,21587,Philip,RUDDOCK,Liberal,LP,106,NSW,23203,Philip,RUDDOCK,Liberal,LP
2079,Berowra,100,106,NSW,28564,Julian,LEESER,Liberal,LP,106,NSW,21587,Philip,RUDDOCK,Liberal,LP,106,NSW,23203,Philip,RUDDOCK,Liberal,LP
2080,Berowra,100,106,NSW,28564,Julian,LEESER,Liberal,LP,106,NSW,21587,Philip,RUDDOCK,Liberal,LP,106,NSW,23203,Philip,RUDDOCK,Liberal,LP
2081,Berowra,100,106,NSW,28564,Julian,LEESER,Liberal,LP,106,NSW,21587,Philip,RUDDOCK,Liberal,LP,106,NSW,23203,Philip,RUDDOCK,Liberal,LP
2082,Berowra,100,106,NSW,28564,Julian,LEESER,Liberal,LP,106,NSW,21587,Philip,RUDDOCK,Liberal,LP,106,NSW,23203,Philip,RUDDOCK,Liberal,LP
2083,Berowra,60.9,106,NSW,28564,Julian,LEESER,Liberal,LP,106,NSW,21587,Philip,RUDDOCK,Liberal,LP,106,NSW,23203,Philip,RUDDOCK,Liberal,LP
2083,Robertson,39.1,146,NSW,28686,Lucy,WICKS,Liberal,LP,146,NSW,21435,Deborah,O'NEILL,Australian Labor Party,ALP,146,NSW,23216,Lucy,WICKS,Liberal,LP
2084,Mackellar,100,132,NSW,28688,Jason,FALINSKI,Liberal,LP,132,NSW,21550,Bronwyn,BISHOP,Liberal,LP,132,NSW,23184,Bronwyn,BISHOP,Liberal,LP
2085,Mackellar,100,132,NSW,28688,Jason,FALINSKI,Liberal,LP,132,NSW,21550,Bronwyn,BISHOP,Liberal,LP,132,NSW,23184,Bronwyn,BISHOP,Liberal,LP
2086,Mackellar,84.6,132,NSW,28688,Jason,FALINSKI,Liberal,LP,132,NSW,21550,Bronwyn,BISHOP,Liberal,LP,132,NSW,23184,Bronwyn,BISHOP,Liberal,LP
2086,Warringah,15.4,151,NSW,28624,Tony,ABBOTT,Liberal,LP,151,NSW,21590,Tony,ABBOTT,Liberal,LP,151,NSW,23210,Tony,ABBOTT,Liberal,LP
2087,Warringah,100,151,NSW,28624,Tony,ABBOTT,Liberal,LP,151,NSW,21590,Tony,ABBOTT,Liberal,LP,151,NSW,23210,Tony,ABBOTT,Liberal,LP
2088,Warringah,100,151,NSW,28624,Tony,ABBOTT,Liberal,LP,151,NSW,21590,Tony,ABBOTT,Liberal,LP,151,NSW,23210,Tony,ABBOTT,Liberal,LP
2089,North Sydney,100,137,NSW,28567,Trent,ZIMMERMAN,Liberal,LP,137,NSW,21692,Joe,HOCKEY,Liberal,LP,137,NSW,23223,Joe,HOCKEY,Liberal,LP
2090,North Sydney,100,137,NSW,28567,Trent,ZIMMERMAN,Liberal,LP,137,NSW,21692,Joe,HOCKEY,Liberal,LP,137,NSW,23223,Joe,HOCKEY,Liberal,LP
2092,Warringah,100,151,NSW,28624,Tony,ABBOTT,Liberal,LP,151,NSW,21590,Tony,ABBOTT,Liberal,LP,151,NSW,23210,Tony,ABBOTT,Liberal,LP
2093,Warringah,100,151,NSW,28624,Tony,ABBOTT,Liberal,LP,151,NSW,21590,Tony,ABBOTT,Liberal,LP,151,NSW,23210,Tony,ABBOTT,Liberal,LP
2094,Warringah,100,151,NSW,28624,Tony,ABBOTT,Liberal,LP,151,NSW,21590,Tony,ABBOTT,Liberal,LP,151,NSW,23210,Tony,ABBOTT,Liberal,LP
2095,Warringah,100,151,NSW,28624,Tony,ABBOTT,Liberal,LP,151,NSW,21590,Tony,ABBOTT,Liberal,LP,151,NSW,23210,Tony,ABBOTT,Liberal,LP
2096,Warringah,100,151,NSW,28624,Tony,ABBOTT,Liberal,LP,151,NSW,21590,Tony,ABBOTT,Liberal,LP,151,NSW,23210,Tony,ABBOTT,Liberal,LP
2097,Mackellar,100,132,NSW,28688,Jason,FALINSKI,Liberal,LP,132,NSW,21550,Bronwyn,BISHOP,Liberal,LP,132,NSW,23184,Bronwyn,BISHOP,Liberal,LP
2099,Mackellar,59.8,132,NSW,28688,Jason,FALINSKI,Liberal,LP,132,NSW,21550,Bronwyn,BISHOP,Liberal,LP,132,NSW,23184,Bronwyn,BISHOP,Liberal,LP
2099,Warringah,40.2,151,NSW,28624,Tony,ABBOTT,Liberal,LP,151,NSW,21590,Tony,ABBOTT,Liberal,LP,151,NSW,23210,Tony,ABBOTT,Liberal,LP
2100,Mackellar,22.6,132,NSW,28688,Jason,FALINSKI,Liberal,LP,132,NSW,21550,Bronwyn,BISHOP,Liberal,LP,132,NSW,23184,Bronwyn,BISHOP,Liberal,LP
2100,Warringah,77.4,151,NSW,28624,Tony,ABBOTT,Liberal,LP,151,NSW,21590,Tony,ABBOTT,Liberal,LP,151,NSW,23210,Tony,ABBOTT,Liberal,LP
2101,Mackellar,100,132,NSW,28688,Jason,FALINSKI,Liberal,LP,132,NSW,21550,Bronwyn,BISHOP,Liberal,LP,132,NSW,23184,Bronwyn,BISHOP,Liberal,LP
2102,Mackellar,100,132,NSW,28688,Jason,FALINSKI,Liberal,LP,132,NSW,21550,Bronwyn,BISHOP,Liberal,LP,132,NSW,23184,Bronwyn,BISHOP,Liberal,LP
2103,Mackellar,100,132,NSW,28688,Jason,FALINSKI,Liberal,LP,132,NSW,21550,Bronwyn,BISHOP,Liberal,LP,132,NSW,23184,Bronwyn,BISHOP,Liberal,LP
