rlgs_affi_islam_%, sa3_code16, rlgs_affi_other_religions_%, rlgs_affi_inadq_desc_not_stated_%, rlgs_affi_christianity_%, prop_tot_pop_spk_lang_other_eng_home_%, rlgs_affi_buddhism_%, rlgs_affi_hinduism_%, year, sa3_name16, rlgs_affi_judaism_%, rlgs_affi_sec_other_spiritual_no_religoin_%
0.7,"80103",0.3,41.3,34.0,6.3,0.7,0.3,2016,"Canberra East",null,22.9
1.6,"80106",0.6,11.1,43.8,18.2,1.8,1.7,2016,"South Canberra",0.4,39.1
1.8,"80107",0.8,8.1,52.8,14.2,2.0,1.4,2016,"Tuggeranong",0.1,33.1
4.3,"80104",1.5,7.9,44.5,33.3,3.5,5.7,2016,"Gungahlin",0.1,32.5
74.1,"90102",null,6.4,6.8,68.8,null,null,2016,"Cocos (Keeling) Islands",null,13.2
1.0,"90103",7.9,24.0,36.1,12.3,null,null,2016,"Jervis Bay",null,32.5
2.0,"80105",0.6,11.1,32.3,23.0,3.5,1.7,2016,"North Canberra",0.4,48.5
1.3,"80108",0.6,9.1,49.0,13.6,1.2,0.9,2016,"Weston Creek",0.1,37.6
2.4,"80109",1.0,9.4,48.6,23.6,2.1,3.4,2016,"Woden Valley",0.2,32.9
4.8,"80110",2.3,10.0,39.4,31.5,2.9,5.9,2016,"Molonglo",0.1,34.4
null,"80111",0.5,12.2,39.4,5.8,null,1.0,2016,"Urriarra  Namadgi",null,46.6
19.4,"90101",0.3,27.9,18.8,45.7,18.1,0.4,2016,"Christmas Island",0.2,15.2
