rlgs_affi_islam_%, sa3_code16, rlgs_affi_other_religions_%, rlgs_affi_inadq_desc_not_stated_%, rlgs_affi_christianity_%, prop_tot_pop_spk_lang_other_eng_home_%, rlgs_affi_buddhism_%, rlgs_affi_hinduism_%, year, sa3_name16, rlgs_affi_judaism_%, rlgs_affi_sec_other_spiritual_no_religoin_%
0.5,"30907",0.4,9.8,54.2,8.4,1.1,0.5,2016,"Ormeau  Oxenford",0.1,33.3
0.2,"31503",0.3,9.7,71.8,2.5,0.6,0.2,2016,"Outback  South",null,17.2
0.3,"31601",0.4,7.9,56.2,6.2,1.1,0.4,2016,"Buderim",0.1,33.7
0.2,"31602",0.3,8.2,58.0,4.7,0.9,0.4,2016,"Caloundra",0.1,31.9
0.3,"31603",0.5,10.5,51.0,6.2,1.3,0.7,2016,"Maroochy",0.1,35.6
0.1,"31605",0.4,9.8,50.6,5.9,1.2,0.3,2016,"Noosa",0.2,37.4
0.1,"31606",0.6,9.4,52.9,3.5,1.6,0.2,2016,"Sunshine Coast Hinterland",0.1,35.3
0.2,"31607",0.5,9.1,54.0,4.5,1.3,0.3,2016,"Nambour",0.1,34.5
0.1,"31608",0.5,10.0,48.7,3.5,1.5,0.2,2016,"Noosa Hinterland",null,38.9
0.1,"31801",0.3,9.3,73.3,5.4,0.3,0.2,2016,"Charters Towers  Ayr  Ingham",null,16.5
0.5,"31802",0.5,10.3,58.4,7.2,0.8,0.5,2016,"Townsville",null,28.9
0.3,"31901",0.3,9.7,62.2,4.4,0.8,0.3,2016,"Bundaberg",null,26.3
0.1,"31902",0.6,11.4,62.3,3.1,0.5,0.2,2016,"Burnett",0.1,24.8
0.1,"31903",0.6,11.2,57.0,2.5,0.8,0.1,2016,"Gympie  Cooloola",0.1,30.1
0.2,"31904",0.4,9.8,59.7,4.2,0.9,0.4,2016,"Hervey Bay",null,28.5
7.6,"30306",3.7,7.9,39.4,53.9,6.5,3.0,2016,"Sunnybank",null,31.8
3.1,"30403",0.7,9.2,44.2,24.8,2.7,2.3,2016,"Sherwood  Indooroopilly",0.3,37.4
0.3,"30404",0.5,7.5,56.1,8.7,1.1,0.6,2016,"The Gap  Enoggera",0.1,33.8
1.7,"30501",0.7,14.5,35.9,29.4,3.6,2.6,2016,"Brisbane Inner",0.2,40.9
0.6,"30502",0.7,9.9,51.0,11.6,1.5,1.1,2016,"Brisbane Inner  East",0.1,35.1
1.5,"30503",0.9,10.9,47.9,16.7,1.8,2.1,2016,"Brisbane Inner  North",0.2,34.8
0.7,"30504",0.5,9.9,47.1,12.2,1.3,1.1,2016,"Brisbane Inner  West",0.2,39.3
0.3,"30601",0.6,10.9,49.1,10.0,1.7,0.5,2016,"Cairns  North",0.2,36.8
1.1,"30401",0.8,6.3,55.1,21.7,3.2,2.9,2016,"Centenary",0.2,30.4
0.6,"30402",0.5,7.5,54.3,13.7,1.6,1.7,2016,"Kenmore  Brookfield  Moggill",0.4,33.3
0.4,"30602",1.3,12.8,52.5,15.3,1.8,1.0,2016,"Cairns  South",0.1,30.1
0.1,"30603",2.5,11.3,62.0,9.3,0.8,0.3,2016,"Innisfail  Cassowary Coast",null,23.0
0.1,"30604",0.6,16.4,44.8,7.4,1.5,0.2,2016,"Port Douglas  Daintree",0.1,36.1
0.4,"30605",0.6,12.1,56.8,7.0,1.0,0.2,2016,"Tablelands (East)  Kuranda",0.1,29.0
0.1,"30701",0.5,13.2,68.5,3.3,0.3,0.3,2016,"Darling Downs (West)  Maranoa",null,17.1
0.1,"30702",0.3,9.9,71.5,3.6,0.4,0.2,2016,"Darling Downs  East",null,17.5
0.1,"30703",0.5,9.0,67.8,4.1,0.5,0.2,2016,"Granite Belt",null,21.9
0.2,"30801",0.5,14.0,63.0,4.8,0.6,0.4,2016,"Central Highlands (Qld)",null,21.3
0.4,"30803",0.5,10.3,63.7,4.8,0.8,0.6,2016,"Rockhampton",null,23.7
0.5,"30804",0.3,10.1,71.8,4.9,0.8,0.4,2016,"Biloela",null,16.0
0.5,"30805",0.4,9.9,57.4,6.2,1.0,0.8,2016,"Gladstone",null,30.0
0.3,"30901",0.5,10.5,53.6,10.8,1.7,0.4,2016,"Broadbeach  Burleigh",0.3,32.7
0.2,"30902",0.3,10.0,55.1,5.6,1.2,0.3,2016,"Coolangatta",0.1,32.7
1.8,"30903",0.6,10.6,54.1,13.7,1.6,0.6,2016,"Gold Coast  North",0.2,30.4
0.1,"30904",0.7,12.6,50.5,4.5,1.2,0.2,2016,"Gold Coast Hinterland",0.1,34.6
4.7,"31001",1.3,14.2,45.1,35.9,8.1,2.2,2016,"Forest Lake  Oxley",0.1,24.3
0.8,"30908",0.7,9.5,53.2,17.7,2.3,0.9,2016,"Robina",0.3,32.3
0.1,"31002",0.4,11.4,61.8,2.6,0.7,0.1,2016,"Ipswich Hinterland",null,25.5
0.2,"31003",0.5,9.5,57.8,5.3,0.8,0.4,2016,"Ipswich Inner",0.1,30.7
1.1,"31004",0.8,9.4,54.1,20.3,2.0,1.9,2016,"Springfield  Redbank",null,30.6
0.1,"31101",0.6,11.4,62.8,2.4,0.4,0.2,2016,"Beaudesert",null,24.5
1.3,"31102",0.7,9.7,54.6,9.7,1.1,0.4,2016,"Beenleigh",0.1,32.2
2.9,"31103",1.2,10.2,53.1,18.4,2.1,1.1,2016,"Browns Plains",0.1,29.4
0.3,"31104",0.5,8.7,56.7,5.1,1.0,0.2,2016,"Jimboomba",0.1,32.5
1.3,"30909",0.7,11.1,49.7,20.7,2.2,1.2,2016,"Southport",0.3,33.5
1.4,"30910",1.6,15.4,47.4,21.9,2.3,2.2,2016,"Surfers Paradise",0.5,29.2
1.7,"31105",0.8,9.4,56.3,13.2,1.6,0.9,2016,"Loganlea  Carbrook",null,29.2
6.0,"31106",1.3,9.6,53.7,25.2,2.0,1.4,2016,"Springwood  Kingston",0.1,26.0
0.3,"31201",0.3,15.1,59.3,5.4,0.8,0.4,2016,"Bowen Basin  North",null,23.9
0.3,"31202",0.4,9.8,64.4,5.5,0.7,0.5,2016,"Mackay",null,24.1
0.1,"31203",0.3,15.7,51.9,5.8,1.3,0.3,2016,"Whitsunday",0.1,30.3
0.1,"31301",0.4,9.2,61.9,3.2,0.8,0.1,2016,"Bribie  Beachmere",null,27.5
0.3,"31302",0.6,10.6,53.4,6.8,1.0,0.3,2016,"Caboolture",null,33.8
0.2,"31303",0.7,18.2,54.7,4.5,0.7,null,2016,"Caboolture Hinterland",null,25.5
0.1,"31304",0.4,8.7,57.5,5.4,0.7,0.4,2016,"Narangba  Burpengary",0.1,32.2
0.2,"31305",0.5,9.7,58.1,6.6,1.1,0.4,2016,"Redcliffe",0.1,29.9
0.2,"31401",0.4,7.0,60.7,6.0,0.7,0.7,2016,"The Hills District",0.1,30.2
0.5,"31402",0.9,8.6,54.5,11.0,1.0,1.7,2016,"North Lakes",0.1,32.8
0.3,"31403",0.7,8.2,56.3,8.6,1.1,0.9,2016,"Strathpine",0.1,32.4
0.1,"31501",1.3,15.2,62.5,37.4,0.6,0.2,2016,"Far North",null,20.1
0.3,"31502",0.8,13.5,57.8,7.0,0.5,0.6,2016,"Outback  North",null,26.5
1.3,"31701",0.6,9.0,66.1,7.6,0.9,0.9,2016,"Toowoomba",null,21.2
0.1,"31905",0.4,12.1,58.7,2.2,0.6,0.1,2016,"Maryborough",null,27.9
2.7,"40101",0.6,14.6,30.9,36.3,4.1,2.0,2016,"Adelaide City",0.1,44.9
1.5,"40105",1.0,8.7,48.7,26.5,1.8,2.3,2016,"Norwood  Payneham  St Peters",0.2,35.7
0.1,"40102",0.5,9.1,46.8,4.8,1.0,0.2,2016,"Adelaide Hills",0.1,42.2
1.2,"40107",0.8,8.4,47.4,19.4,1.6,1.6,2016,"Unley",0.2,38.9
0.1,"40201",0.4,8.9,51.4,4.3,0.8,0.1,2016,"Gawler  Two Wells",null,38.2
2.2,"40202",0.8,10.2,44.2,12.6,1.8,0.8,2016,"Playford",null,40.0
6.9,"40203",2.6,9.4,43.4,36.5,3.2,5.5,2016,"Port Adelaide  East",null,29.0
4.7,"40204",1.4,7.9,46.6,28.0,4.6,3.0,2016,"Salisbury",null,31.9
1.0,"40205",0.9,7.3,53.1,12.3,1.0,1.1,2016,"Tea Tree Gully",0.1,35.6
1.4,"40303",0.6,7.6,48.6,14.9,1.3,1.0,2016,"Mitcham",0.1,39.5
0.5,"40304",0.6,9.0,45.0,6.7,0.9,0.4,2016,"Onkaparinga",null,43.7
2.3,"40401",1.2,8.1,54.8,27.5,2.8,1.3,2016,"Charles Sturt",null,29.4
2.5,"40402",1.0,8.6,45.9,26.7,6.0,1.4,2016,"Port Adelaide  West",0.1,34.6
1.3,"40103",0.8,7.9,49.0,24.1,2.7,2.0,2016,"Burnside",0.3,36.1
1.5,"40104",2.1,6.8,58.4,34.5,2.3,2.4,2016,"Campbelltown (SA)",0.1,26.2
2.2,"40106",1.5,8.3,49.7,24.9,2.3,3.3,2016,"Prospect  Walkerville",0.1,32.7
2.7,"40403",2.2,8.2,50.0,30.0,2.0,3.3,2016,"West Torrens",0.1,31.7
0.1,"40501",0.3,8.7,55.2,2.3,0.5,0.1,2016,"Barossa",null,35.0
0.1,"40502",0.4,9.4,58.4,2.5,0.4,null,2016,"Lower North",null,31.1
0.2,"40503",0.3,8.8,57.8,3.2,0.4,0.2,2016,"Mid North",null,32.2
0.1,"40504",0.4,9.7,56.7,1.9,0.5,0.1,2016,"Yorke Peninsula",null,32.4
0.2,"40601",0.4,10.8,51.6,4.4,0.6,0.3,2016,"Eyre Peninsula and South West",null,36.2
0.5,"40602",1.2,15.4,46.5,12.7,0.7,0.3,2016,"Outback  North and East",null,35.4
0.1,"40701",0.5,10.3,48.5,2.8,0.8,0.1,2016,"Fleurieu  Kangaroo Island",null,39.7
0.8,"40702",0.3,9.5,51.6,5.1,0.6,0.2,2016,"Limestone Coast",null,37.1
0.7,"40703",1.1,10.4,52.4,7.8,0.8,0.2,2016,"Murray and Mallee",null,34.3
0.4,"50101",0.4,10.7,46.7,5.2,1.2,0.2,2016,"Augusta  Margaret River  Busselton",0.1,40.2
