"MEASURE","Data item","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11501","Baulkham Hills","A","Annual","2011","2011",7.6,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11501","Baulkham Hills","A","Annual","2016","2016",6.4,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11502","Dural - Wisemans Ferry","A","Annual","2011","2011",60.8,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11502","Dural - Wisemans Ferry","A","Annual","2016","2016",63.9,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11502","Dural - Wisemans Ferry","A","Annual","2011","2011",4.2,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11502","Dural - Wisemans Ferry","A","Annual","2016","2016",5.1,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11502","Dural - Wisemans Ferry","A","Annual","2011","2011",1.6,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11502","Dural - Wisemans Ferry","A","Annual","2016","2016",1.8,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","11502","Dural - Wisemans Ferry","A","Annual","2011","2011",15.4,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","11502","Dural - Wisemans Ferry","A","Annual","2016","2016",17,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","11502","Dural - Wisemans Ferry","A","Annual","2011","2011",10.8,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","11502","Dural - Wisemans Ferry","A","Annual","2016","2016",10.8,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","11502","Dural - Wisemans Ferry","A","Annual","2011","2011",20.1,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","11502","Dural - Wisemans Ferry","A","Annual","2016","2016",20.6,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11502","Dural - Wisemans Ferry","A","Annual","2011","2011",8.7,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11502","Dural - Wisemans Ferry","A","Annual","2016","2016",8.6,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11503","Hawkesbury","A","Annual","2011","2011",59,,
