"MEASURE","Data item","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12101","Chatswood - Lane Cove","A","Annual","2016","2016",6.2,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12101","Chatswood - Lane Cove","A","Annual","2011","2011",6.8,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12101","Chatswood - Lane Cove","A","Annual","2016","2016",7.2,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12101","Chatswood - Lane Cove","A","Annual","2011","2011",14.2,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12101","Chatswood - Lane Cove","A","Annual","2016","2016",12.5,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12101","Chatswood - Lane Cove","A","Annual","2011","2011",7.3,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12101","Chatswood - Lane Cove","A","Annual","2016","2016",7.9,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12101","Chatswood - Lane Cove","A","Annual","2011","2011",1.4,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12101","Chatswood - Lane Cove","A","Annual","2016","2016",1.4,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12101","Chatswood - Lane Cove","A","Annual","2011","2011",3,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12101","Chatswood - Lane Cove","A","Annual","2016","2016",3.3,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12101","Chatswood - Lane Cove","A","Annual","2011","2011",1.9,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12101","Chatswood - Lane Cove","A","Annual","2016","2016",1.8,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2011","2011",13.7,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2016","2016",13.8,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2011","2011",31.9,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2016","2016",33.3,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2011","2011",11.2,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2016","2016",10.6,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2011","2011",8.7,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2016","2016",9.7,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2011","2011",16.1,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2016","2016",14.5,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2011","2011",8.2,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2016","2016",8,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2011","2011",2.8,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2016","2016",2.7,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2011","2011",5.8,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2016","2016",6,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2011","2011",1.6,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12102","Hornsby","A","Annual","2016","2016",1.4,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2011","2011",20.8,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2016","2016",21.1,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2011","2011",38.9,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2016","2016",39.3,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2011","2011",5.3,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2016","2016",5.1,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2011","2011",6.9,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2016","2016",7.2,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2011","2011",14.5,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2016","2016",13.3,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2011","2011",8.1,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2016","2016",8.2,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2011","2011",1,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2016","2016",1.2,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2011","2011",2.7,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2016","2016",2.8,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2011","2011",1.8,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12103","Ku-ring-gai","A","Annual","2016","2016",1.8,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2011","2011",20.7,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2016","2016",22.1,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2011","2011",42.4,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2016","2016",42.5,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2011","2011",5.3,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2016","2016",5,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2011","2011",6.2,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2016","2016",6.3,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2011","2011",14,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2016","2016",12.5,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2011","2011",6.8,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2016","2016",6.9,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2011","2011",0.8,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2016","2016",0.9,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2011","2011",1.9,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2016","2016",2,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2011","2011",1.9,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12104","North Sydney - Mosman","A","Annual","2016","2016",1.8,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2011","2011",20.5,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2016","2016",22.6,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2011","2011",37.4,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2016","2016",37.3,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2011","2011",7.3,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2016","2016",6.7,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2011","2011",7.8,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2016","2016",7.9,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2011","2011",12.9,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2016","2016",11.4,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2011","2011",7.9,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2016","2016",8,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2011","2011",1.5,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2016","2016",1.4,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2011","2011",3,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2016","2016",2.8,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2011","2011",1.8,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12201","Manly","A","Annual","2016","2016",1.8,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2011","2011",17.6,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2016","2016",18.6,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2011","2011",26.4,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2016","2016",26.6,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2011","2011",13.1,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2016","2016",12.7,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2011","2011",9,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2016","2016",9.5,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2011","2011",14.9,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2016","2016",13.8,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2011","2011",9.5,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2016","2016",9.4,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2011","2011",2.6,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2016","2016",2.6,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2011","2011",5.1,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2016","2016",4.9,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2011","2011",1.7,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12202","Pittwater","A","Annual","2016","2016",1.8,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2011","2011",16.3,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2016","2016",17.4,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2011","2011",26.2,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2016","2016",26.9,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2011","2011",12.7,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2016","2016",12.1,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2011","2011",9,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2016","2016",9.9,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2011","2011",15.6,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2016","2016",14,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2011","2011",9.7,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2016","2016",9.3,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2011","2011",3.4,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2016","2016",3.2,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2011","2011",5.6,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2016","2016",5.9,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2011","2011",1.5,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12203","Warringah","A","Annual","2016","2016",1.5,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12301","Camden","A","Annual","2011","2011",12.8,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12301","Camden","A","Annual","2016","2016",12.5,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12301","Camden","A","Annual","2011","2011",18.2,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12301","Camden","A","Annual","2016","2016",18.1,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12301","Camden","A","Annual","2011","2011",14.8,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12301","Camden","A","Annual","2016","2016",14.8,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12301","Camden","A","Annual","2011","2011",9.8,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12301","Camden","A","Annual","2016","2016",10.6,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12301","Camden","A","Annual","2011","2011",17.6,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12301","Camden","A","Annual","2016","2016",16.5,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12301","Camden","A","Annual","2011","2011",10.1,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12301","Camden","A","Annual","2016","2016",10.2,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12301","Camden","A","Annual","2011","2011",8.1,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12301","Camden","A","Annual","2016","2016",7.8,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12301","Camden","A","Annual","2011","2011",7.1,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12301","Camden","A","Annual","2016","2016",7.7,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12301","Camden","A","Annual","2011","2011",1.4,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12301","Camden","A","Annual","2016","2016",1.8,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12302","Campbelltown (NSW)","A","Annual","2011","2011",8.7,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12302","Campbelltown (NSW)","A","Annual","2016","2016",8.5,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12302","Campbelltown (NSW)","A","Annual","2011","2011",14.3,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12302","Campbelltown (NSW)","A","Annual","2016","2016",15.4,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12302","Campbelltown (NSW)","A","Annual","2011","2011",14.8,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12302","Campbelltown (NSW)","A","Annual","2016","2016",13.9,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12302","Campbelltown (NSW)","A","Annual","2011","2011",10.2,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12302","Campbelltown (NSW)","A","Annual","2016","2016",11.3,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12302","Campbelltown (NSW)","A","Annual","2011","2011",18.1,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12302","Campbelltown (NSW)","A","Annual","2016","2016",16.1,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12302","Campbelltown (NSW)","A","Annual","2011","2011",9.7,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12302","Campbelltown (NSW)","A","Annual","2016","2016",9.7,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12302","Campbelltown (NSW)","A","Annual","2011","2011",11.2,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12302","Campbelltown (NSW)","A","Annual","2016","2016",11.8,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12302","Campbelltown (NSW)","A","Annual","2011","2011",11,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12302","Campbelltown (NSW)","A","Annual","2016","2016",11.3,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12302","Campbelltown (NSW)","A","Annual","2011","2011",1.9,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12302","Campbelltown (NSW)","A","Annual","2016","2016",2,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12303","Wollondilly","A","Annual","2011","2011",11.8,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12303","Wollondilly","A","Annual","2016","2016",12.4,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12303","Wollondilly","A","Annual","2011","2011",15.3,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12303","Wollondilly","A","Annual","2016","2016",15,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12303","Wollondilly","A","Annual","2011","2011",18.4,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12303","Wollondilly","A","Annual","2016","2016",18.7,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12303","Wollondilly","A","Annual","2011","2011",9.4,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12303","Wollondilly","A","Annual","2016","2016",10.2,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12303","Wollondilly","A","Annual","2011","2011",14.9,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12303","Wollondilly","A","Annual","2016","2016",14.4,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12303","Wollondilly","A","Annual","2011","2011",8.2,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12303","Wollondilly","A","Annual","2016","2016",8.5,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12303","Wollondilly","A","Annual","2011","2011",10.2,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12303","Wollondilly","A","Annual","2016","2016",9.5,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12303","Wollondilly","A","Annual","2011","2011",10,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12303","Wollondilly","A","Annual","2016","2016",9.5,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12303","Wollondilly","A","Annual","2011","2011",1.9,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12303","Wollondilly","A","Annual","2016","2016",1.8,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12401","Blue Mountains","A","Annual","2011","2011",12,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12401","Blue Mountains","A","Annual","2016","2016",12.4,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12401","Blue Mountains","A","Annual","2011","2011",28.8,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12401","Blue Mountains","A","Annual","2016","2016",28.7,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12401","Blue Mountains","A","Annual","2011","2011",13.2,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12401","Blue Mountains","A","Annual","2016","2016",12.8,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12401","Blue Mountains","A","Annual","2011","2011",11.4,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12401","Blue Mountains","A","Annual","2016","2016",12.1,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12401","Blue Mountains","A","Annual","2011","2011",14.3,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12401","Blue Mountains","A","Annual","2016","2016",13.4,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12401","Blue Mountains","A","Annual","2011","2011",7.7,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12401","Blue Mountains","A","Annual","2016","2016",7.5,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12401","Blue Mountains","A","Annual","2011","2011",4.3,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12401","Blue Mountains","A","Annual","2016","2016",4.2,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12401","Blue Mountains","A","Annual","2011","2011",6.8,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12401","Blue Mountains","A","Annual","2016","2016",7.5,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12401","Blue Mountains","A","Annual","2011","2011",1.4,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12401","Blue Mountains","A","Annual","2016","2016",1.4,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12403","Penrith","A","Annual","2011","2011",10.8,,
"EMP_OCC_2","Managers (%)","SA3","Statistical Area Level 3","12403","Penrith","A","Annual","2016","2016",10.7,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12403","Penrith","A","Annual","2011","2011",15.1,,
"EMP_OCC_3","Professionals (%)","SA3","Statistical Area Level 3","12403","Penrith","A","Annual","2016","2016",16,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12403","Penrith","A","Annual","2011","2011",15.2,,
"EMP_OCC_4","Technicians and trades workers (%)","SA3","Statistical Area Level 3","12403","Penrith","A","Annual","2016","2016",14.8,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12403","Penrith","A","Annual","2011","2011",9.8,,
"EMP_OCC_5","Community and personal service workers (%)","SA3","Statistical Area Level 3","12403","Penrith","A","Annual","2016","2016",10.6,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12403","Penrith","A","Annual","2011","2011",19,,
"EMP_OCC_6","Clerical and administrative workers (%)","SA3","Statistical Area Level 3","12403","Penrith","A","Annual","2016","2016",17.8,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12403","Penrith","A","Annual","2011","2011",10,,
"EMP_OCC_7","Sales workers (%)","SA3","Statistical Area Level 3","12403","Penrith","A","Annual","2016","2016",9.6,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12403","Penrith","A","Annual","2011","2011",9.5,,
"EMP_OCC_8","Machinery operators and drivers (%)","SA3","Statistical Area Level 3","12403","Penrith","A","Annual","2016","2016",9.5,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12403","Penrith","A","Annual","2011","2011",8.8,,
"EMP_OCC_9","Labourers (%)","SA3","Statistical Area Level 3","12403","Penrith","A","Annual","2016","2016",9,,
"EMP_OCC_10","Occupation of Employed Persons - Inadequately described (%)","SA3","Statistical Area Level 3","12403","Penrith","A","Annual","2011","2011",1.8,,
